archieve_ident,title,classification,platform
106.427,Adaptive long-term fasting in land and ice-bound polar bears: Data Table,Arctic Ocean,Helicopter
106.428,Polar Bears: Morphological measurements and body condition at capture,Arctic Ocean,
106.429,Polar Bears: Adipose analyses,Arctic Ocean,Helicopter
106.432,Polar Bears: Blood analyses,Arctic Ocean,Helicopter
106.433,Polar Bears: Muscle analyses,Arctic Ocean,Helicopter
106.434,Polar Bears: Breath analyses,Arctic Ocean,Helicopter
106.435,Polar Bears: Location and movements,Arctic Ocean,Helicopter
106.436,Polar Bears: Body temperature,Arctic Ocean,Helicopter
106.ARCSS029,"Arctic Ocean Section Porewater Chemistry Data, 1994",Arctic Ocean,Ship
13.101,"Tower, 20m flux multi-level msmts (PRELIMINARY)",Arctic Ocean,Surface Energy Budget
13.102,"Ice Camp Surface Mesonet NCAR PAM-III, Atlanta site.(GIF)",Arctic Ocean,NCAR PAM Mesonet
13.103,"Ice Camp Surface Mesonet NCAR PAM-III, Baltimore site.(GIF)",Arctic Ocean,NCAR PAM Mesonet
13.104,"Ice Camp Surface Mesonet NCAR PAM-III, Cleveland site.(GIF)",Arctic Ocean,NCAR PAM Mesonet
13.105,"Ice Camp Surface Mesonet NCAR PAM-III, Florida site.(GIF)",Arctic Ocean,NCAR PAM Mesonet
13.106,"Ice Camp Surface Mesonet NCAR PAM-III, site position/drift.(GIF)",Arctic Ocean,NCAR PAM Mesonet
13.107,"Tower, PRELIMINARY 10m SPO surface met data. (ASCII)",Arctic Ocean,Surface Energy Budget
13.108,"Tower, PRELIMINARY 10m SPO surface met data plots(station1). (GIF)",Arctic Ocean,Surface Energy Budget
13.109,"Tower, PRELIMINARY 10m SPO surface met data plots(station2). (GIF)",Arctic Ocean,Surface Energy Budget
13.112,Ice Camp Surface Ship Weather Reports (ASCII),Arctic Ocean,GTS Surface Platforms
13.114,"Tower, 5-level hourly measurements plus radiometer and surface data at Met City (ASFG)",Arctic Ocean,20m SHEBA Flux tower
13.115,"Tower, Interpolated hourly measurements to 2.5 and 10m at Met City (ASFG)",Arctic Ocean,20m SHEBA Flux tower
13.116,"Tower, 5-level Daily Average measurements plus radiometer and surface data at Met City (ASFG)",Arctic Ocean,20m SHEBA Flux tower
13.117,"Tower, Interpolated Daily Average measurements to 2.5 m at Met City (ASFG)",Arctic Ocean,20m SHEBA Flux tower
13.118,ETL Radar-Lidar 10-min Cloud Physical Properties,Arctic Ocean,
13.119,ETL Reprocessed Microwave Radiometer Retrievals,Arctic Ocean,MWR
13.120,ETL Radar-based Cloud Microphysics Retrievals,Arctic Ocean,
13.121,ASFG PAM Surface Temperatures,Arctic Ocean,NCAR PAM Mesonet
13.122,Model Ice Deformation and Ice Thickness Distribution,Arctic Ocean,
13.123,AVHRR Polar Pathfinder Derived Satellite Products for SHEBA,Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
13.124,Depolarization and Backscatter Unattended Lidar dataset (10 Minute Averages),Arctic Ocean,
13.125,Depolarization and Backscatter Unattended Lidar dataset (10 Second Averages),Arctic Ocean,
13.126,SHEBA/JOIS Bottle Cast Oxygen Data,Arctic Ocean,Ship
13.201,"Soundings, PRELIM Ice Camp NCAR/GLAS SkewT Plots. (jpg)",Arctic Ocean,"Rawinsonde, CLASS"
13.202,"Soundings, PRELIM Ice Camp NCAR/GLAS raobs. (ASCII)",Arctic Ocean,"Rawinsonde, CLASS"
13.203,"Soundings, PRELIM Ice Camp UAF tethered balloon. (GIF)(UAF)",Arctic Ocean,Tethered Balloon
13.204,"Soundings, Ice Camp UAF tethered balloon Data (ASCII)(UAF)",Arctic Ocean,Tethered Balloon
13.205,"Soundings, Ice Camp UAF radiometric tethered balloon data (ASCII)(UAF)",Arctic Ocean,Tethered Balloon
13.301,"LIDAR, ETL DABUL system;FINAL 10-min avg Depol Ratio(GIF)",Arctic Ocean,"Radar, Research Doppler"
13.302,"LIDAR, ETL DABUL system;FINAL 10-min avg Far-para intensity.(GIF)",Arctic Ocean,"Radar, Research Doppler"
13.310,"Radar, ETL vertically pointing; Final 12-hr Radar Reflectivity Images (GIF)",Arctic Ocean,"Radar, Research Doppler"
13.311,"Radar, ETL vertically pointing; Final 12-hr Radar Velocity Images (GIF)",Arctic Ocean,"Radar, Research Doppler"
13.312,"Radar, ETL vertically pointing; Final 12-hr Merged Radar Data (netCDF)",Arctic Ocean,"Radar, Research Doppler"
13.313,"Radar, ETL vertically pointing; Final Cloud Boundaries (netCDF)",Arctic Ocean,"Radar, Research Doppler"
13.314,"Radar, ETL vertically pointing; Final Cloud Boundaries (ASCII)",Arctic Ocean,"Radar, Research Doppler"
13.315,"LIDAR, ETL DABUL System; 10-min avg cloud base/top heights, depol ratio (ASCII)",Arctic Ocean,"Radar, Research Doppler"
13.316,Ice Camp Scintillometer Data,Arctic Ocean,SHEBA Scintillometer
13.401,Satellite NOAA polar orbiter IR Composite Image.(GIF),Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
13.402,"Satellite NOAA-12, band 3 imagery (GIF)",Arctic Ocean,"Satellite, NOAA-12"
13.403,"Satellite NOAA-12, band 4 imagery(GIF)",Arctic Ocean,"Satellite, NOAA-12"
13.404,Satellite NOAA-14 11micron channel images (GIF),Arctic Ocean,"Satellite, NOAA-14"
13.405,Satellite NOAA-14 3.7micron channel images (GIF),Arctic Ocean,"Satellite, NOAA-14"
13.406,Satellite NOAA-14 1km hi res IR images (GIF),Arctic Ocean,"Satellite, NOAA-14"
13.408,Satellite NOAA-14 VIS images (GIF),Arctic Ocean,"Satellite, NOAA-14"
13.409,Satellite NOAA-12 11micron channel images (GIF),Arctic Ocean,"Satellite, NOAA-14"
13.410,Satellite NOAA-12/14 1km hi res VIS images (GIF),Arctic Ocean,
13.411,"Satellite NOAA 12/14, NSA AVHRR Data (Link to ARM)",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
13.412,Satellite RGPS Ice Motion Products (Link to NASA-JPL),Arctic Ocean,"Satellite, RADARSAT"
13.413,Satellite NOAA/NASA Polar Pathfinder SHEBA grids (Link to NSIDC),Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
13.415,Satellite SAR floe size (ASCII),Arctic Ocean,"Satellite, RADARSAT"
13.416,Satellite SAR floe size (GIF),Arctic Ocean,"Satellite, RADARSAT"
13.417,Satellite RADARSAT SAR Imagery,Arctic Ocean,"Satellite, RADARSAT"
13.418,Satellite RADARSAT SAR Sea Ice Motion,Arctic Ocean,"Satellite, RADARSAT"
13.419,Satellite RADARSAT SAR Sea Ice Deformation,Arctic Ocean,"Satellite, RADARSAT"
13.450,Buoy: IABP Twelve-hourly Pressure and Temp Data,Arctic Ocean,
13.451,Buoy: IABP Twelve-hourly Pressure and Temp Data,Arctic Ocean,
13.452,Buoy: IABP Daily Buoy Positions,Arctic Ocean,
13.453,Buoy: IABP Daily Buoy Positions,Arctic Ocean,
13.454,Buoy: IABP Interpolated Ice Velocity Fields,Arctic Ocean,
13.455,Buoy: IABP Interpolated Ice Velocity Fields,Arctic Ocean,
13.460,Arctic Nutrient Database 1997-1998,Arctic Ocean,
13.501,Sea Ice Analysis Beaufort Sea (GIF),Arctic Ocean,
13.502,Sea Ice Analysis Chukchi Sea (GIF),Arctic Ocean,
13.503,Ice Camp Position/Velocity(FINAL) (ASCII),Arctic Ocean,Operations Logs
13.504,Ice Camp (PRELIMINARY) position/heading (hourly). (ASCII),Arctic Ocean,Operations Logs
13.505,Ice Camp (PRELIMINARY) drift. (GIF),Arctic Ocean,Operations Logs
13.506,Ice Camp (PRELIMINARY) AERI data. (GIF),Arctic Ocean,DOE/ARM SMOS
13.507,Ice Camp (PRELIMINARY) AERI channel-1  data. (GIF),Arctic Ocean,DOE/ARM SMOS
13.508,Ice Camp (PRELIMINARY) AERI channel-2  data. (GIF),Arctic Ocean,DOE/ARM SMOS
13.516,Ice Camp (PRELIMINARY) SeaCat CTD cast data. (GIF) (PSC),Arctic Ocean,CTD ocean cast
13.517,"Buoy, IOEB Air, Ice and Biogeochemical Data",Arctic Ocean,IOEB Buoy
13.518,Ice Camp Summer Leads Data(Final)(ASCII),Arctic Ocean,CTD ocean cast
13.519,Ice Camp Summer Leads Albedo Data(PRELIMINARY)(ASCII),Arctic Ocean,
13.520,"Buoy, IOEB Doppler Current Profiler (ADCP) Data",Arctic Ocean,IOEB Buoy
13.521,Ice Camp Summer Leads Inherent Optical Properties (ASCII),Arctic Ocean,CTD ocean cast
13.522,Ice Camp Summer Leads Profile SBE-19 (ASCII),Arctic Ocean,CTD ocean cast
13.523,Ice Camp Summer Leads Profile SBE-25 (ASCII),Arctic Ocean,CTD ocean cast
13.524,Ice Camp Ocean Seacat CTD Data-Deep (Preliminary),Arctic Ocean,CTD ocean cast
13.525,Ice Camp Thermal Microstructure and CTD Profiles,Arctic Ocean,CTD ocean cast
13.526,Ice Camp Sea Ice Biology (ASCII),Arctic Ocean,Ice Thickness
13.527,Ice Camp CTD Time Series (ASCII),Arctic Ocean,Ice Temperature
13.528,Ice Camp CTD Time Series (Matlab),Arctic Ocean,Ice Temperature
13.529,Model - Lower Column Forcing Data (MatLab),Arctic Ocean,
13.600,NSIDC ARCSS Archive (Link to NSIDC),Arctic Ocean,
13.601,Aircraft NCAR C-130 Low-rate Data (netCDF),Arctic Ocean,"Aircraft, NSF/NCAR C-130"
13.602,Aircraft NCAR C-130 Documentation and Data Quality Materials (Link to NCAR/RAF),Arctic Ocean,"Aircraft, NSF/NCAR C-130"
13.603,Aircraft NCAR C-130 High-rate Data (netCDF),Arctic Ocean,"Aircraft, NSF/NCAR C-130"
13.605,Aircraft UW Convair 580 Data Summaries and documentation (Link to UW/CARG),Arctic Ocean,"Aircraft, Research"
13.610,Aircraft Twin Otter Surface-Properties Surveys,Arctic Ocean,"Aircraft, Research"
13.611,Aircraft Twin Otter Surface-Properties Surveys (Video Tape),Arctic Ocean,"Aircraft, Research"
13.612,Aircraft Helicopter Aerial Photography,Arctic Ocean,"Aircraft, Research"
13.701,Model MRF 200mb analysis (GIF),Arctic Ocean,NMC forecasts
13.702,Model MRF 500mb analysis(0000 UTC) (GIF),Arctic Ocean,NMC forecasts
13.703,Model MRF Surface analysis 0000 UTC (GIF),Arctic Ocean,NMC forecasts
13.704,Model MRF Surface 24 hour forecast (GIF),Arctic Ocean,NMC forecasts
13.705,Model MRF Surface 48 hour forecast (GIF),Arctic Ocean,NMC forecasts
13.706,Model MRF Surface 72 hour forecast (GIF),Arctic Ocean,NMC forecasts
13.708,"Satellite NOAA 12 IR, sfc temps,winds, 500mb heights (GIF)",Arctic Ocean,"Satellite, NOAA-12"
13.709,"Model 24 hour forecast sfc temps,winds, 500mb heights (GIF)",Arctic Ocean,NMC forecasts
13.710,"Model 48 hour forecast sfc temps,winds, 500mb heights (GIF)",Arctic Ocean,NMC forecasts
13.711,"Model 72 hour forecast sfc temps,winds, 500mb heights (GIF)",Arctic Ocean,NMC forecasts
13.712,Model MRF 500mb 48 hour forecast (GIF),Arctic Ocean,NMC forecasts
13.713,Model Monthly Net Freezing Rate,Arctic Ocean,Research 4DDA
13.720,"Buoy, ARGOS Position Data (ASCII)",Arctic Ocean,AES
13.721,Model ECMWF Column Output (ASCII),Arctic Ocean,NMC gridded models
13.722,"Ice Camp Surface Mesonet NCAR PAM-III, Atlanta site.(ASCII)",Arctic Ocean,NCAR PAM Mesonet
13.723,"Ice Camp Surface Mesonet NCAR PAM-III, Baltimore site.(ASCII)",Arctic Ocean,NCAR PAM Mesonet
13.724,"Ice Camp Surface Mesonet NCAR PAM-III, Cleveland site.(ASCII)",Arctic Ocean,NCAR PAM Mesonet
13.725,"Ice Camp Surface Mesonet NCAR PAM-III, Florida site.(ASCII)",Arctic Ocean,NCAR PAM Mesonet
13.732,Ice Camp Deep Sonar Data,Arctic Ocean,Deep Sonar
13.734,"Ice Camp Surface Mesonet NCAR PAM-III, Seattle site.(GIF)",Arctic Ocean,NCAR PAM Mesonet
13.735,Ice Camp Daily Precipitation Amount (ASCII),Arctic Ocean,SHEBA SPO Nipher snow guage
13.736,"Ice Camp Surface Mesonet NCAR PAM-III, Maui site.(GIF)",Arctic Ocean,NCAR PAM Mesonet
13.737,"Ice Camp Surface Mesonet NCAR PAM-III, Maui site.(ASCII)",Arctic Ocean,NCAR PAM Mesonet
13.738,"Ice Camp Surface Mesonet NCAR PAM-III, Seattle site.(ASCII)",Arctic Ocean,NCAR PAM Mesonet
13.740,ARM Data (Link to ARM Archive),Arctic Ocean,
13.741,Ice Camp Mobile Radiometric Platform Measurements (Link to CU),Arctic Ocean,Mobile Radiometric Platform
13.742,Ice Camp Ocean Turbulence Mast Data,Arctic Ocean,
13.743,"Buoy, ARGOS Data",Arctic Ocean,
13.744,Ice Camp Oceanographic Be-7 Measurements,Arctic Ocean,
13.745,Model Coupled Ice-Ocean LES Output (netCDF and ASCII),Arctic Ocean,Research 4DDA
13.746,Model ECMWF Column Output (netCDF),Arctic Ocean,NMC gridded models
13.800,Russian Hydrographic Data,Arctic Ocean,CTD ocean cast
13.801,Submarine Sonar Ice Draft Profiles,Arctic Ocean,
13.802,Surface Measurements of Freezing Leads,Arctic Ocean,
13.803,Horizontal Variation in Surface Radiative Fluxes at SHEBA Camp,Arctic Ocean,"Aircraft, NSF/NCAR C-130"
13.805,AVHRR Polar Pathfinder 5-km regional products,Arctic Ocean,
13.806,Satellite AVHRR Polar Pathfinder 5-km regional products,Arctic Ocean,
13.807,Satellite AVHRR Polar Pathfinder 5-km SHEBA drift track products,Arctic Ocean,
13.808,Satellite AVHRR-derived cloud and radiation data (CASPR),Arctic Ocean,
13.809,Satellite EASE gridded SSM/I-derived ice concentrations,Arctic Ocean,
13.810,Satellite EASE gridded remotely-sensed ice motion fields,Arctic Ocean,
13.811,EASE gridded NCEP fields - Statistical summaries of climatological variables,Arctic Ocean,
13.812,Ice Deformation from SAR,Arctic Ocean,
13.813,Radarsat SAR Imagery,Arctic Ocean,
13.814,Ice Motion from SAR,Arctic Ocean,
13.815,Ice Thickness Distributions from SCICEX 97 cruise,Arctic Ocean,
13.816,RGPS Ice Motion,Arctic Ocean,
13.817,SHEBA PAM Project Report,Arctic Ocean,
13.818,Integrated observational dataset for model validation,Arctic Ocean,
13.819,JAMSTEC Data,Arctic Ocean,
13.820,Helicopter Infrared Photometry,Arctic Ocean,
13.821,Soot Content of Snow and Ice,Arctic Ocean,
13.822,Ice Stress,Arctic Ocean,
13.823,Ice Mass Balance,Arctic Ocean,
13.824,Snow and Ice Temperature Profiles,Arctic Ocean,
13.825,Spectral Albedo,Arctic Ocean,
13.826,Wavelength-integrated Albedos,Arctic Ocean,
13.827,Spectral Light Transmittance,Arctic Ocean,
13.828,Snow Cover Measurements,Arctic Ocean,
13.829,SHEBA Snow and Ice Studies CD,Arctic Ocean,
13.830,Radarsat Quick Look Imagery,Arctic Ocean,
13.831,Satellite AVHRR Overpass data (Terascan Format),Arctic Ocean,
13.832,GLASS Sounding Data Humidity Corrections,Arctic Ocean,
13.833,Mesozooplankton Abundance and Biomass,Arctic Ocean,
13.837,SHEBA: NOAA Twin Otter Photography Cloud Videos,Arctic Ocean,"Aircraft, NOAA Twin Otter"
13.838,Ice Camp Surface Mesonet NCAR PAM-III 1 hour (FINAL) ,Arctic Ocean,NCAR PAM Mesonet
13.839,Ice Camp Surface Mesonet NCAR PAM-III 5 minute (FINAL),Arctic Ocean,NCAR PAM Mesonet
255.005,Macrobenthic data from the Chukchi Sea,Arctic Ocean,Ship
255.006,Environmental data for Macrobenthic sampling stations in the Chukchi Sea,Arctic Ocean,Ship
255.007,Macrobenthic data from Nearshore Prudhoe Bay,Arctic Ocean,Ship
255.008,"Environmental data for Macrobenthic sampling stations in Prudhoe Bay, Beaufort Sea 1974",Arctic Ocean,Ship
255.009,Macrobenthic data from Bering to Chukchi Sea 1970 to 1974,Arctic Ocean,benthic sampling
255.010,Bowhead Whale Abundance,Arctic Ocean,Manned Field Station
255.048,Epifauna Sampling Data,Arctic Ocean,Ship
62.000,Western Arctic Benthic Community Structure and Biomass (MS Access),Arctic Ocean,benthic sampling
62.002,Western Arctic Benthic Community Structure and Biomass,Arctic Ocean,IOEB Buoy
62.005,Beaufort Gyre IOEB Data 1992-1998 (Unix format),Arctic Ocean,IOEB Buoy
62.006,Beaufort Gyre IOEB Data 1992-1998 (DOS format),Arctic Ocean,IOEB Buoy
62.010,Direct Measurement of the Boundary Undercurrent  along Siberia,Arctic Ocean,Mooring
62.011,Textural Clay Data for Core P1 taken at P1-92-AR,Arctic Ocean,CTD ocean cast
62.012,Textural Silt Data for Core P1 taken at P1-92-AR,Arctic Ocean,CTD ocean cast
62.013,Textural Size Data for Core P1 taken at P1-92-AR,Arctic Ocean,CTD ocean cast
62.015,Arctic Nutrient Database 1904-2000,Arctic Ocean,IOEB Buoy
62.017,CNS Data for Box Core Sample B-3 taken at P1-92-14 (ASCII),Arctic Ocean,
62.018,CNS Data for Box Core Sample B-3 taken at P1-92-14 (Excel),Arctic Ocean,
62.019,CNS Data for Box Core Sample B-4 taken at P1-92-14 (ASCII),Arctic Ocean,
62.020,CNS Data for Box Core Sample B-4 taken at P1-92-14 (Excel),Arctic Ocean,
62.021,CNS Data for Box Core Sample B-5 taken at P1-92-14 (ASCII),Arctic Ocean,
62.022,CNS Data for Box Core Sample B-5 taken at P1-92-14 (Excel),Arctic Ocean,
62.023,CNS Data for Box Core Sample P-1 taken at P1-92-14 (ASCII),Arctic Ocean,
62.024,CNS Data for Box Core Sample P-1 taken at P1-92-14 (Excel),Arctic Ocean,
62.025,Metal Content Data for Piston Core Sample P-1 taken at P1-92-AR (ASCII),Arctic Ocean,
62.026,Metal Content Data for Piston Core Sample P-1 taken at P1-92-AR (Excel),Arctic Ocean,
62.027,Fe Oxide Mineral Data for Core P1 taken at  P1-92-AR (ASCII),Arctic Ocean,
62.028,Fe Oxide Mineral Data for Core P1 taken at  P1-92-AR (Excel),Arctic Ocean,
62.029,B-3 Probe Data from P1-92-AR (ASCII),Arctic Ocean,Ship
62.030,B-3 Probe Data from P1-92-AR (Excel),Arctic Ocean,Ship
62.031,P-1 Raw Probe Data from P1-92-AR,Arctic Ocean,Ship
62.032,P-1 Corrected Probe Data from P1-92-AR (ASCII),Arctic Ocean,Ship
62.033,P-1 Corrected Probe Data from P1-92-AR (Excel),Arctic Ocean,Ship
62.034,USCGC Healy Cruise HLY-02-01 Service/JOSS Data,Arctic Ocean,Ship
62.035,USCGC Healy Cruise HLY-02-03 Service/JOSS Data,Arctic Ocean,
62.036,USCGC Healy Cruise HLY-02-01 Underway Data,Arctic Ocean,Ship
62.037,USCGC Healy Cruise HLY-02-03 Underway Data,Arctic Ocean,Ship
62.038,AOS-94 Cruise Neutral Lipids (Excel),Arctic Ocean,Ship
62.039,AOS-94 Cruise Neutral Lipids (ASCII),Arctic Ocean,Ship
62.040,AOS-94 Cruise Fatty Acids (EXCEL),Arctic Ocean,Ship
62.041,AOS-94 Cruise Fatty Acids (ASCII),Arctic Ocean,Ship
62.042,USCGC Healy HLY-02-01 Ship Log - Weather Information,Arctic Ocean,Ship
62.043,USCGC Healy HLY-02-03 Ship Log -  Weather Information,Arctic Ocean,Ship
62.044,Seabeam Bathymetry Imagery by Station - HLY-02-01,Arctic Ocean,Ship
62.045,Seabeam Bathymetry Imagery by Station - HLY-02-03,Arctic Ocean,Ship
62.046,USCGC Healy HLY-02-01 Ship Log - Navigation Information,Arctic Ocean,Ship
62.047,USCGC Healy HLY-02-03 Ship Log -  Navigation Information,Arctic Ocean,Ship
62.048,Thorium and Uranium Radioisotope Data from HLY-02-01,Arctic Ocean,
62.049,HLY-02-01 Carbon and Nitrogen Isotope Dynamics (Excel),Arctic Ocean,Ship
62.050,HLY-02-01 Carbon and Nitrogen Isotope Dynamics (ASCII),Arctic Ocean,Ship
62.051,HLY-02-03 Carbon and Nitrogen Isotope Dynamics (Excel),Arctic Ocean,Ship
62.052,HLY-02-03 Carbon and Nitrogen Isotope Dynamics (ASCII),Arctic Ocean,Ship
62.053,"HLY-02-01,03 Oxygen-8/Oxygen-16 Ratios (EXCEL)",Arctic Ocean,Seawater Sampling
62.054,"HLY-02-01,03 Oxygen-8/Oxygen-16 Ratios (ASCII)",Arctic Ocean,Seawater Sampling
62.055,Alpha Helix 2002 Bering Strait Cruise Underway Data,Arctic Ocean,Ship
62.056,"HLY-02-01,03 Be-7 and Surface Sediment Chlorophyll Data (EXCEL)",Arctic Ocean,Seawater Sampling
62.057,"HLY-02-01,03 Be-7 and Surface Sediment Chlorophyll Data (ASCII)",Arctic Ocean,Seawater Sampling
62.058,"Beaufort Sea Sediment Core Lipid Analysis, Station 5 (EXCEL)",Arctic Ocean,
62.0580,"Beaufort Sea Sediment Core Lipid Analysis, Station 5 (ASCII)",Arctic Ocean,
62.059,"Beaufort Sea Sediment Core Lipid Analysis, Station 10 (EXCEL)",Arctic Ocean,
62.0590,"Beaufort Sea Sediment Core Lipid Analysis, Station 10 (ASCII)",Arctic Ocean,
62.060,"Beaufort Sea Sediment Core Lipid Analysis, Station 44 (EXCEL)",Arctic Ocean,
62.0600,"Beaufort Sea Sediment Core Lipid Analysis, Station 44 (ASCII)",Arctic Ocean,
62.061,"Chukchi Sea Sediment Core Lipid Analysis, Station 2 (EXCEL)",Arctic Ocean,
62.0610,"Chukchi Sea Sediment Core Lipid Analysis, Station 2 (ASCII)",Arctic Ocean,
62.062,"Chukchi Sea Sediment Core Lipid Analysis, Station C1 (EXCEL)",Arctic Ocean,
62.0620,"Chukchi Sea Sediment Core Lipid Analysis, Station C1 (ASCII)",Arctic Ocean,
62.063,"Chukchi Sea Sediment Core Lipid Analysis, Station F9 (EXCEL)",Arctic Ocean,
62.0630,"Chukchi Sea Sediment Core Lipid Analysis, Station F9 (ASCII)",Arctic Ocean,
62.064,USCGC Healy HLY-02-01 Hourly Position and Weather Data,Arctic Ocean,
62.065,USCGC Healy HLY-02-01 1-Minute Position and Weather Data,Arctic Ocean,
62.066,USCGC Healy HLY-02-03 Hourly Position and Weather Data,Arctic Ocean,
62.067,USCGC Healy HLY-02-03 1-Minute Position and Weather Data,Arctic Ocean,
62.068,ADCP Data from USCGC Healy HLY-02-01,Arctic Ocean,
62.069,Eddies in the Beaufort Gyre IOEB Data,Arctic Ocean,IOEB Buoy
62.070,Standard Sea-Ice Observation Reports: Healy Cruise HLY-02-01,Arctic Ocean,
62.075,HLY-02-01 Satellite DMSP and HRPT Overpass Data,Arctic Ocean,
62.076,HLY-02-01 Seabeam Data,Arctic Ocean,
62.077,HLY-02-01 Particulate Organic Carbon and Particulate Organic Nitrogen Data,Arctic Ocean,Ship
62.078,HLY-02-03 Particulate Organic Carbon and Particulate Organic Nitrogen Data,Arctic Ocean,Ship
62.079,"HLY-02-01 Satellite, DMSP OLS Visible Imagery",Arctic Ocean,"Satellite, DMSP"
62.080,"HLY-02-01 Satellite, DMSP OLS 1 KM Visible Imagery",Arctic Ocean,"Satellite, DMSP"
62.081,"HLY-02-01 Satellite, DMSP OLS Infrared Imagery",Arctic Ocean,"Satellite, DMSP"
62.082,"HLY-02-01 Satellite, AVHRR 1KM Channel 1 Imagery",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
62.083,"HLY-02-01 Satellite, AVHRR 1KM Channel 2 Imagery",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
62.084,"HLY-02-01 Satellite, AVHRR 1KM Channel 5 Imagery",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
62.085,"HLY-02-01 Satellite, AVHRR Channel 1 Imagery",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
62.086,"HLY-02-01 Satellite, AVHRR Channel 2 Imagery",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
62.087,"HLY-02-01 Satellite, AVHRR Channel 5 Imagery",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
62.088,HLY-02-01 Ship Track Regional View (Plot),Arctic Ocean,
62.089,HLY-02-01 Ship Track Close-up View (Plot),Arctic Ocean,
62.090,HLY-02-01 Ship Underway Data - Seabeam Centerbeam Depth (Plot),Arctic Ocean,Ship
62.091,HLY-02-01 Ship Underway Data - Relative Humidity (Plot),Arctic Ocean,Ship
62.092,HLY-02-01 Ship Underway Data - Atmospheric Pressure (Plot),Arctic Ocean,Ship
62.093,HLY-02-01 Ship Underway Data - Temperature/Dew Point (Plot),Arctic Ocean,Ship
62.094,HLY-02-01 Ship Underway Data - True Wind Speed and Direction (Plot),Arctic Ocean,Ship
62.095,"HLY-02-03 Satellite, DMSP OLS 0.5KM Visible Imagery",Arctic Ocean,"Satellite, DMSP"
62.096,"HLY-02-03 Satellite, DMSP OLS 1KM Visible Imagery",Arctic Ocean,"Satellite, DMSP"
62.097,"HLY-02-03 Satellite, DMSP OLS Visible Imagery",Arctic Ocean,"Satellite, DMSP"
62.098,"HLY-02-03 Satellite, DMSP OLS Infrared Imagery",Arctic Ocean,"Satellite, DMSP"
62.099,"HLY-02-03 Satellite, AVHRR 1KM Channel 1 Imagery",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
62.100,"HLY-02-03 Satellite, AVHRR 1KM Channel 2 Imagery",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
62.101,"HLY-02-03 Satellite, AVHRR 1KM Channel 5 Imagery",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
62.102,"HLY-02-03 Satellite, AVHRR  Channel 1 Imagery",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
62.103,"HLY-02-03 Satellite, AVHRR  Channel 2 Imagery",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
62.104,"HLY-02-03 Satellite, AVHRR  Channel 5 Imagery",Arctic Ocean,"Satellite, NOAA AVHRR Imagery"
62.105,HLY-02-03 Ship Track Regional View (Plot),Arctic Ocean,
62.106,HLY-02-03 Ship Track Close-up View (Plot),Arctic Ocean,
62.107,HLY-02-01 Dissolved Organic Carbon (DOC) Data,Arctic Ocean,Ship
62.108,HLY-02-03 Dissolved Organic Carbon (DOC) Data,Arctic Ocean,Ship
62.109,HLY-02-03 Ship Underway Data - Seabeam Centerbeam Depth (Plot),Arctic Ocean,Ship
62.110,HLY-02-03 Ship Underway Data - Relative Humidity (Plot),Arctic Ocean,Ship
62.111,HLY-02-03 Ship Underway Data - Atmospheric Pressure (Plot),Arctic Ocean,Ship
62.112,HLY-02-03 Ship Underway Data - Temperature/Dew Point (Plot),Arctic Ocean,Ship
62.113,HLY-02-03 Ship Underway Data - True Wind Speed and Direction (Plot),Arctic Ocean,Ship
62.114,Weekly Ice Analysis - Chukchi Sea,Arctic Ocean,Ship
62.115,Ice Concentration - Circumarctic,Arctic Ocean,Ship
62.116,Nathaniel B. Palmer Cruise NBP0304A Underway Data,Arctic Ocean,Ship
62.117,Weekly Ice Analysis - Beaufort Sea,Arctic Ocean,Ship
62.118,NBP03-04a Service Group CTD Data (WHP Format),Arctic Ocean,Ship
62.119,NBP03-04a Service Group Bottle Data (WHP Format),Arctic Ocean,Ship
62.120,Nathaniel B. Palmer Cruise NBP03-04a 1-minute Track Data,Arctic Ocean,Ship
62.121,Nathaniel B. Palmer Cruise NBP03-04a JGOFS Data,Arctic Ocean,Ship
62.122,Nathaniel B. Palmer Cruise NBP03-04a MGD77 Data,Arctic Ocean,Ship
62.123,Nathaniel B. Palmer Cruise NBP03-04a Raw ADCP Data,Arctic Ocean,Ship
62.124,Nathaniel B. Palmer Cruise NBP03-04a PCO2 Data,Arctic Ocean,Ship
62.125,AWS02-I CTD Data,Arctic Ocean,CTD ocean cast
62.126,AWS02-I Bottle and Nutrient Data (WHP Format),Arctic Ocean,CTD ocean cast
62.127,USCGC Healy HLY-03-03 Ship Log -  Weather Information,Arctic Ocean,Ship
