project,archive_ident,title,Acronyms,Acronyms_number
ARCSS,106.439,"Qalluuraq Lake, Alaska 12,000 Year Multiproxy Methane Sediment Data",NOAA || ,1
ARCSS,106.440,"Quartz Lake, Alaska 11,200 Year Chironomid and Stable Isotope Data",NOAA || ,1
ARCSS,106.441,"Rantin Lake, Yukon 10,900 - 3,100 YrBP Multiproxy Sediment Data",NOAA || ,1
ARCSS,106.442,Barrow Area Remote Sensing- MET Data,"/>
BE || BEN || BEC || BES || />
BEX_MET_YYYY || YYYY&quot || />
BEX_MET_Fields || ",7
ARCSS,106.443,Barrow Area Remote Sensing- Soil Ecology Data,II || III || ,2
ARCSS,106.444,Barrow Area Remote Sensing- BE CH4 Fall 2009,CO2 || CH4 || ,2
ARCSS,106.445,Barrow Area Remote Sensing- BE CO2 Flux Summer 2009,CO2 || ,1
ARCSS,106.446,Barrow Area Remote Sensing- BE Soil Data 2009,CO2 || ,1
ARCSS,106.447,Changing Seasonality of Tundra Plant-Soil Interactions,PAR || SR || NDVI || PIs || ASCII || ,5
ARCSS,106.448,"Understanding Climate-Driven Phenological Change - Observations, Adaptations and Cultural Implications in Northeastern Siberia and Labrador/Nunatsiavut (PHENARC)",PHENARC || II || ,2
ARCSS,106.449,"Dune Lake, Alaska 12,000 Year Multiproxy Sediment Data",,0
ATLAS,46.6100,North Slope: Chandalar Shelf Temp & Soil Moisture Excel Data,,0
ATLAS,46.6110,North Slope: Deadhorse Temp & Soil Moisture Excel Data,,0
ATLAS,46.6120,North Slope: Franklin Bluffs Temp & Soil Moisture Excel Data,,0
ATLAS,46.6130,North Slope: Galbraith Lake Temp & Soil Moisture Excel Data,,0
ATLAS,46.6140,North Slope: Toolik Lake Temp & Soil Moisture Excel Data,,0
ATLAS,46.6150,North Slope: West Dock Temp & Soil Moisture Excel Data,,0
ATLAS,46.610,North Slope: Chandalar Shelf Temp & Soil Moisture Data,,0
ATLAS,46.611,North Slope: Deadhorse Temp & Soil Moisture Data,,0
ATLAS,46.612,North Slope: Franklin Bluffs Temp & Soil Moisture Data,,0
ATLAS,46.613,North Slope: Galbraith Lake Temp & Soil Moisture Data,,0
ATLAS,46.614,North Slope: Toolik Lake Temp & Soil Moisture Data,,0
ATLAS,46.615,North Slope: West Dock Temp & Soil Moisture Data,,0
ATLAS,46.758,Council Climate NCAR ISS RASS Virtual Temperatures (ASCII),ATLAS || NCAR || ATD || NCAR's || ISS || README || ,6
ATLAS,46.759,Council Climate NCAR ISS 915 Mhz Profiler Winds (ASCII),ATLAS || NCAR || ATD || NCAR's || ISS || README || ,6
ATLAS,46.760,Council Climate NCAR ISS RASS Virtual Temperatures for Tundra Site(C2)(ASCII),ATLAS || NCAR || ATD || ISS || RASS || ,5
ATLAS,46.761,Council Climate NCAR ISS 915 Mhz Profiler Winds for Tundra Site(C2)(ASCII),ATLAS || NCAR || ATD || NCAR's || ISS || README || ,6
ATLAS,46.762,Council Climate NCAR ISS High Resolution Soundings for Tundra Site(C2)(ASCII),ATLAS || NCAR || ATD || NCAR's || ISS || README || ,6
ATLAS,46.763,Council Climate NCAR ISS RASS Virtual Temps for Dry Tundra Site (C8)(ASCII),ATLAS || NCAR || ATD || NCAR's || ISS || README || ,6
ATLAS,46.764,Council Climate NCAR ISS 915 Mhz Prof Winds for Dry Tundra Site (C8)(ASCII),ATLAS || NCAR || ATD || NCAR's || ISS || README || ,6
ATLAS,56.001,"Toolik Dry Tundra Ecosystem Flux [Welker, J., J. Fahnestock]",ASCII || ,1
ATLAS,56.002,"Toolik Moist Tundra Ecosystem Flux [Welker, J., J. Fahnestock]",ASCII || ,1
ATLAS,56.003,"Toolik Inorganic Nitrogen Uptake of Snow Covered Plants [Welker, J., C. Bilbrough]",ASCII || ,1
ATLAS,56.004,"Toolik Extractable Soil Nitrogen and Net Nitrogen Mineralization Data [Welker, J., C. Bilbrough]",ASCII || ,1
ATLAS,56.902,"Spatial Characteristics of AVHRR-NDVI [Jia, J., H. Epstein, D. Walker]",AVHRR-NDVI || ,1
ATLAS,56.958,"Toolik Litter Study [Welker, J., J. Fahnestock]",CO2 || UTC || ,2
ATLAS,46.100,"East Siberian Transect - Air, Ground Temperature and Snow Depth [Romanovsky, V.]",,0
ATLAS,46.200,"Ivotuk Flux and Climate Data [Beringer, J.]",,0
ATLAS,46.201,"Ivotuk Climate Data - MAT Site (ASCII) [Beringer, J.]",MAT || ASCII || EXCEL || NOTE: || ,4
ATLAS,46.2010,"Ivotuk Climate Data - MAT Site (Excel) [Beringer, J.]",MAT || ASCII || EXCEL || NOTE: || ,4
ATLAS,46.202,"Ivotuk Flux Data - MAT Site (ASCII) [Beringer, J.]",MAT || ASCII || EXCEL || NOTE: || ,4
ATLAS,46.2020,"Ivotuk Flux Data - MAT Site (Excel) [Beringer, J.]",MAT || ASCII || EXCEL || NOTE: || ,4
ATLAS,46.203,"Ivotuk Climate Data - Shrub Site (ASCII) [Beringer, J.]",MAT || ASCII || EXCEL || NOTE: || ,4
ATLAS,46.2030,"Ivotuk Climate Data - Shrub Site (Excel) [Beringer, J.]",MAT || ASCII || EXCEL || NOTE: || ,4
ATLAS,46.204,"Ivotuk Flux Data - Shrub Site (ASCII) [Beringer, J.]",MAT || ASCII || EXCEL || NOTE: || ,4
ATLAS,46.2040,"Ivotuk Flux Data - Shrub Site (Excel) [Beringer, J.]",MAT || ASCII || EXCEL || NOTE: || ,4
ATLAS,46.205,"Ivotuk Climate Data - MNT Site (ASCII) [Beringer, J.]",MNT || MAT || ASCII || EXCEL || NOTE: || ,5
ATLAS,46.2050,"Ivotuk Climate Data - MNT Site (Excel) [Beringer, J.]",MNT || MAT || ASCII || EXCEL || NOTE: || ,5
ATLAS,46.206,"Ivotuk Flux Data - MNT Site (ASCII) [Beringer, J.]",MNT || MAT || ASCII || EXCEL || NOTE: || ,5
ATLAS,46.2060,"Ivotuk Flux Data - MNT Site (Excel) [Beringer, J.]",MNT || MAT || ASCII || EXCEL || NOTE: || ,5
ATLAS,46.207,"Ivotuk Climate Data - Moss Site (ASCII) [Beringer, J.]",MOSS || MAT || ASCII || EXCEL || NOTE: || ,5
ATLAS,46.2070,"Ivotuk Climate Data - Moss Site (Excel) [Beringer, J.]",MOSS || MAT || ASCII || EXCEL || NOTE: || ,5
ATLAS,46.208,"Ivotuk Flux Data - Moss Site (ASCII) [Beringer, J.]",MOSS || MAT || ASCII || EXCEL || NOTE: || ,5
ATLAS,46.2080,"Ivotuk Flux Data - Moss Site (Excel) [Beringer, J.]",MOSS || MAT || ASCII || EXCEL || NOTE: || ,5
ATLAS,46.210,"Daily Average Soil, Air and Ground Temperatures - Ivotuk Moist Acidic Tundra Site [Romanovsky, V.]",MAT || ,1
ATLAS,46.211,"Daily Average Soil, Air and Ground Temperatures - Ivotuk Moist Acidic Tundra Site [Romanovsky, V.]",MAT || ,1
ATLAS,46.212,"Daily Average Soil, Air and Ground Temperatures - Ivotuk Moist non-Acidic Tundra Site [Romanovsky, V.]",MNT || ,1
ATLAS,46.213,"Daily Average Soil, Air and Ground Temperatures - Ivotuk Moist non-Acidic Tundra Site [Romanovsky, V.]",MNT || ,1
ATLAS,46.214,"Daily Average Soil, Air and Ground Temperatures - Ivotuk Moss Site [Romanovsky, V.]",MOSS || ,1
ATLAS,46.215,"Daily Average Soil, Air and Ground Temperatures - Ivotuk Moss Site [Romanovsky, V.]",MOSS || ,1
ATLAS,46.216,"Daily Average Soil, Air and Ground Temperatures - Ivotuk Shrub Site [Romanovsky, V.]",SHRUB || ,1
ATLAS,46.217,"Daily Average Soil, Air and Ground Temperatures - Ivotuk Shrub Site [Romanovsky, V.]",SHRUB || ,1
ATLAS,46.218,"Hourly Average Soil, Air and Ground Temperatures - Council Forest Site [Romanovsky, V.]",,0
ATLAS,46.219,"Daily Average Soil, Air and Ground Temperatures - Council Forest Site [Romanovsky, V.]",,0
ATLAS,46.220,"Hourly Average Soil, Air and Ground Temperatures - Council Shrub Site [Romanovsky, V.]",,0
ATLAS,46.221,"Daily Average Soil, Air and Ground Temperatures - Council Shrub Site [Romanovsky, V.]",,0
ATLAS,46.222,"Hourly Average Soil, Air and Ground Temperatures - Council Tundra Site [Romanovsky, V.]",,0
ATLAS,46.223,"Daily Average Soil, Air and Ground Temperatures - Council Tundra Site [Romanovsky, V.]",,0
ATLAS,46.224,"Hourly Average Soil, Air and Ground Temperatures - Council Woodland Site [Romanovsky, V.]",,0
ATLAS,46.225,"Daily Average Soil, Air and Ground Temperatures - Council Woodland Site [Romanovsky, V.]",,0
ATLAS,46.300,"Arctic Regional Climate System (ARCSYM) Model Output [Lynch, A.]",ARCSyM || NCAR || RegCM2 || ,3
ATLAS,46.310,"Seward Peninsula Tree Age Data [Lloyd, A.]",,0
ATLAS,46.311,"Seward Peninsula Tree Establishment Data [Lloyd, A.]",,0
ATLAS,46.312,"Seward Peninsula Tree Ring Data [Lloyd, A.]",,0
ATLAS,46.313,"Seward Peninsula Tree Establishment Metadata [Lloyd, A.]",,0
ATLAS,46.314,"Seward Peninsula Tree Ring Metadata [Lloyd, A.]",,0
ATLAS,46.400,"Toolik Hourly Average Weather Data [Shaver, G.]",LTER || ,1
ATLAS,46.401,"Toolik Daily Average Weather Data [Shaver, G.]",LTER || ,1
ATLAS,46.402,"Toolik 3-Hourly Average Weather Data [Shaver, G.]",LTER || ,1
ATLAS,46.403,"Toolik 3-Hourly Average Weather Data [Shaver, G.]",LTER || ,1
ATLAS,46.404,"Toolik Daily Average Weather Data [Shaver, G.]",LTER || ,1
ATLAS,46.405,"Toolik Hourly Average Weather Data [Shaver, G.]",LTER || ,1
ATLAS,46.406,"Toolik Daily Average Weather Data [Shaver, G.]",LTER || ,1
ATLAS,46.407,"Toolik Hourly Average Weather Data [Shaver, G.]",LTER || ,1
ATLAS,46.408,"Toolik 3-Hourly Average Weather Data [Shaver, G.]",LTER || ,1
ATLAS,46.500,"Barrow CO2, H2O and Heat Flux Data [Oechel, W.]",CO2 || ,1
ATLAS,46.501,"Atqasuk CO2, H2O and Heat Flux Data [Oechel, W.]",CO2 || ,1
ATLAS,46.502,"U-pad CO2, H2O and Heat Flux Data [Oechel, W.]",CO2 || UPAD || ,2
ATLAS,46.503,"Wadati Conference Hydrologic Response Abstract [Hinzman, L., D. Kane, D. Goering]",ATLAS || ,1
ATLAS,46.510,"Happy Valley: CO2, H2O and Heat Flux Data (ASCII) [Oechel, W.]",CO2 || NOTE: || ASCII || ,3
ATLAS,46.5100,"Happy Valley: CO2, H2O and Heat Flux Data (Excel) [Oechel, W.]",CO2 || ,1
ATLAS,46.515,"Ivotuk Biomass, NDVI, LAI Data (Excel) [Epstein, H., S. Riedel, D. Walker]",NDVI || LAI || ,2
ATLAS,46.516,"Ivotuk Mean NDVI, LAI Data [Epstein, H., S. Riedel, D. Walker]",NDVI || LAI || EXCEL || ASCII || ,4
ATLAS,46.517,"Ivotuk Raw NDVI Data [Epstein, H., S. Riedel, D. Walker]",NDVI || ATLAS: || LAI || EXCEL || ASCII || ,5
ATLAS,46.518,"Ivotuk Raw LAI Data [Epstein, H., S. Riedel, D. Walker]",LAI || ATLAS: || NDVI || EXCEL || ASCII || ,5
ATLAS,46.519,"Ivotuk Seasonal Mean Phytomass Data [Epstein, H., S. Riedel, D. Walker]",ATLAS: || NDVI || LAI || EXCEL || ASCII || ,5
ATLAS,46.520,"Ivotuk Peak Phytomass Data [Epstein, H., S. Riedel, D. Walker]",ATLAS: || NDVI || LAI || EXCEL || ASCII || ,5
ATLAS,46.521,"Ivotuk Period 1 Phytomass Data [Epstein, H., S. Riedel, D. Walker]",ATLAS: || NDVI || LAI || EXCEL || ASCII || ,5
ATLAS,46.522,"Ivotuk Period 2 Phytomass Data [Epstein, H., S. Riedel, D. Walker]",ATLAS: || NDVI || LAI || EXCEL || ASCII || ,5
ATLAS,46.523,"Ivotuk Period 3 Phytomass Data [Epstein, H., S. Riedel, D. Walker]",ATLAS: || NDVI || LAI || EXCEL || ASCII || ,5
ATLAS,46.524,"Ivotuk Period 4 Phytomass Data [Epstein, H., S. Riedel, D. Walker]",ATLAS: || NDVI || LAI || EXCEL || ASCII || ,5
ATLAS,46.525,"Ivotuk Period 5 Phytomass Data [Epstein, H., S. Riedel, D. Walker]",ATLAS: || NDVI || LAI || EXCEL || ASCII || ,5
ATLAS,46.526,"Ivotuk Period 6 Phytomass Data [Epstein, H., S. Riedel, D. Walker]",ATLAS: || NDVI || LAI || EXCEL || ASCII || ,5
ATLAS,46.527,"Ivotuk Period 7 Phytomass Data [Epstein, H., S. Riedel, D. Walker]",ATLAS: || NDVI || LAI || EXCEL || ASCII || ,5
ATLAS,46.528,"Ivotuk CALM-MAT Thawed Soil Depth (ASCII) [Epstein, H., D. Walker]",CALM || NOTE: || ASCII || ,3
ATLAS,46.529,"Ivotuk CALM-MAT Thawed Soil Depth (Excel) [Epstein, H., D. Walker]",CALM || ASCII || NOTE: || EXCEL || ,4
ATLAS,46.600,"Ivotuk LAI Measurements [Copass, C.]",LAI || ,1
ATLAS,46.619,"Council Flux Data - Site 1 Spruce Forest (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6190,"Council Flux Data - Site 1 Spruce Forest (Excel) [Beringer, J.]",,0
ATLAS,46.620,"Council Climate Data - Site 2 Tundra (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6200,"Council Climate Data - Site 2 Tundra (Excel) [Beringer, J.]",,0
ATLAS,46.621,"Council Flux Data - Site 2 Tundra (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6210,"Council Flux Data - Site 2 Tundra (Excel) [Beringer, J.]",,0
ATLAS,46.622,"Council Climate Data - Site 3 Shrub (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6220,"Council Climate Data - Site 3 Shrub (Excel) [Beringer, J.]",,0
ATLAS,46.623,"Council Flux Data - Site 3 Shrub (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6230,"Council Flux Data - Site 3 Shrub (Excel) [Beringer, J.]",,0
ATLAS,46.624,"Council Climate Data - Site 4 Woodland (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6240,"Council Climate Data - Site 4 Woodland (Excel) [Beringer, J.]",,0
ATLAS,46.625,"Council Flux Data - Site 4 Woodland (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6250,"Council Flux Data - Site 4 Woodland (Excel) [Beringer, J.]",,0
ATLAS,46.626,"Council Climate Data - Site 6 Low Shrub (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6260,"Council Climate Data - Site 6 Low Shrub (Excel) [Beringer, J.]",,0
ATLAS,46.627,"Council Flux Data - Site 6 Low Shrub (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6270,"Council Flux Data - Site 6 Low Shrub (Excel) [Beringer, J.]",,0
ATLAS,46.628,"Council Climate Data - Site 8 Burned Tundra (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6280,"Council Climate Data - Site 8 Burned Tundra (Excel) [Beringer, J.]",,0
ATLAS,46.629,"Council Flux Data - Site 8 Burned Tundra (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6290,"Council Flux Data - Site 8 Burned Tundra (Excel) [Beringer, J.]",,0
ATLAS,46.617,"Council Climate Data - Site 1 Spruce Forest (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6170,"Council Climate Data - Site 1 Spruce Forest (Excel) [Beringer, J.]",,0
ATLAS,46.6171,"Council Site Characteristics [Beringer, J.]",MS || ,1
ATLAS,46.653,"Council Bulk Density Data (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6530,"Council Bulk Density Data (Excel) [Beringer, J.]",,0
ATLAS,46.654,"Council Climate Data - Burned Tundra Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6540,"Council Climate Data - Burned Tundra Site (Excel) [Beringer, J.]",,0
ATLAS,46.655,"Council Flux Data - Burned Tundra Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6550,"Council Flux Data - Burned Tundra Site (Excel) [Beringer, J.]",,0
ATLAS,46.656,"Council Climate Data - Forest Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6560,"Council Climate Data - Forest Site (Excel) [Beringer, J.]",,0
ATLAS,46.657,"Council Flux Data - Forest Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6570,"Council Flux Data - Forest Site (Excel) [Beringer, J.]",,0
ATLAS,46.658,"Council Climate Data - Heath Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6580,"Council Climate Data - Heath Site (Excel) [Beringer, J.]",,0
ATLAS,46.659,"Council Flux Data - Heath Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6590,"Council Flux Data - Heath Site (Excel) [Beringer, J.]",,0
ATLAS,46.660,"Council Climate Data - NCAR ISS Tundra Site (ASCII) [Beringer, J.]",NCAR's || ISS || ASCII || ,3
ATLAS,46.6600,"Council Climate Data - NCAR ISS Tundra Site (Excel) [Beringer, J.]",NCAR's || ISS || ,2
ATLAS,46.661,"Council Flux Data - NCAR ISS Tundra Site (ASCII) [Beringer, J.]",NCAR's || ISS || ASCII || ,3
ATLAS,46.6610,"Council Flux Data - NCAR ISS Tundra Site (Excel) [Beringer, J.]",NCAR's || ISS || ,2
ATLAS,46.662,"Council Climate Data - Shallow Lake Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6620,"Council Climate Data - Shallow Lake Site (Excel) [Beringer, J.]",,0
ATLAS,46.663,"Council Flux Data - Shallow Lake Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6630,"Council Flux Data - Shallow Lake Site (Excel) [Beringer, J.]",,0
ATLAS,46.664,"Council Climate Data - Shrub Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6640,"Council Climate Data - Shrub Site (Excel) [Beringer, J.]",,0
ATLAS,46.665,"Council Flux Data - Shrub Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6650,"Council Flux Data - Shrub Site (Excel) [Beringer, J.]",,0
ATLAS,46.666,"Council Climate Data - Tundra Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6660,"Council Climate Data - Tundra Site (Excel) [Beringer, J.]",,0
ATLAS,46.667,"Council Flux Data - Tundra Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6670,"Council Flux Data - Tundra Site (Excel) [Beringer, J.]",,0
ATLAS,46.668,"Council Understory Flux Data - Spruce Forest Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6680,"Council Understory Flux Data - Spruce Forest Site (Excel) [Beringer, J.]",,0
ATLAS,46.669,"Council Sapflow Data - Forest Site (ASCII) [Beringer, J.]",ASCII || ,1
ATLAS,46.6690,"Council Sapflow Data - Forest Site (Excel) [Beringer, J.]",,0
ATLAS,46.670,"Council Site Characteristics [Beringer, J.]",MS || ,1
ATLAS,46.618,"North American Snowmelt 2000 CD [Hinzman, L.]",ATLAS || CD || ,2
ATLAS,46.630,"Alaska Growing Season NDVI Images [Jia, J., H. Epstein, D. Walker]",JPEG || NDVI || ,2
ATLAS,46.631,"Alaska Average Annual Peak NDVI - Western transect [Jia, J., H. Epstein, D. Walker]",NDVI || GRID || AVHHR || USGS || ,4
ATLAS,46.632,"Alaska Average Annual Peak NDVI - Eastern transect [Jia, J., H. Epstein, D. Walker]",NDVI || GRID || AVHHR || USGS || ,4
ATLAS,46.633,"Alaska Average Annual Peak NDVI - Northern Alaska [Jia, J., H. Epstein, D. Walker]",NDVI || GRID || AVHHR || USGS || ,4
ATLAS,46.634,"Alaska Average Time-integrated NDVI - Northern Alaska [Jia, J., H. Epstein, D. Walker]",NDVI || GRID || AVHHR || USGS || ,4
ATLAS,46.635,"Time-integrated NDVI in Northern Alaska [Jia, J., H. Epstein, D. Walker]",NDVI || GRID || AVHHR || USGS || ,4
ATLAS,46.636,"Annual Peak NDVI in Northern Alaska [Jia, J., H. Epstein, D. Walker]",NDVI || GRID || AVHHR || USGS || ,4
ATLAS,46.637,"Aerial photos (TIFF) for western transect, northern Alaska [Jia, J.]",,0
ATLAS,46.638,"Geo-database for field study sites in Northern Alaska [Jia, J., H. Epstein, D. Walker]",GPS || ,1
ATLAS,46.639,"Geo-database of MNT and MAT Sites in Northern Alaska [Jia, J., H. Epstein, D. Walker]",MNT || MAT || ,2
ATLAS,46.640,"Geo-database of MNT, MAT, and Shrub Sites in Northern Alaska (based on MSS Landcover) [Jia, J., H. Epstein, D. Walker]",MNT || MAT || MSS || ,3
ATLAS,46.641,"Digital Elevation Model (DEM) Data for the Seward Peninsula [Jia, J., H. Epstein, D. Walker]",USGS || GTOPO30 || ,2
ATLAS,46.642,"Digital Elevation Model (DEM) Data for the North Slope of Alaska [Jia, J., H. Epstein, D. Walker]",USGS || GTOPO30 || ,2
ATLAS,46.648,"Ivotuk Flux and Climate Data (ASCII) [Beringer, J.]",CO2 || NOTE: || ASCII || ,3
ATLAS,46.649,"Ivotuk Flux and Climate Data (Excel) [Beringer, J.]",CO2 || NOTE: || ,2
ATLAS,46.645,"Alexandra Fiord Dry Tundra Ecosystem [Welker, J., J. Fahnestock]",ITEX || OTCs || UTC || ,3
ATLAS,46.646,"Alexandra Fiord Mesic Tundra Ecosystem [Welker, J., J. Fahnestock]",ITEX || OTCs || UTC || ,3
ATLAS,46.647,"Alexandra Fiord Wet Tundra Ecosystem [Welker, J., J. Fahnestock]",ITEX || OTCs || UTC || ,3
ATLAS,46.671,"Canadian Transect for the Circumpolar Arctic Vegetation Map (CAVM) Data Report [Walker, D., W. Gould, H. Epstein]",ATLAS || ,1
ATLAS,46.698,"Thermal Soil Properties for Ivotuk and Council [Beringer, J.]",ATLAS || ,1
ATLAS,46.699,"Winter CO2 efflux - Basetraps (ASCII) [Welker, J., J. Fahnestock]",NOTE: || ASCII || ,2
ATLAS,46.6990,"Winter CO2 efflux - Basetraps (Excel) [Welker, J., J. Fahnestock]",NOTE: || ,1
ATLAS,46.702,"Ivotuk Aboveground Biomass Measurements (ASCII) [Copass, C.]",ASCII || EXCEL || NOTE: || ,3
ATLAS,46.7020,"Ivotuk Aboveground Biomass Measurements (Excel) [Copass, C.]",NOTE: || ,1
ATLAS,46.703,"Ivotuk Aboveground Biomass Codes (ASCII) [Copass, C.]",ASCII || EXCEL || NOTE: || ,3
ATLAS,46.7030,"Ivotuk Aboveground Biomass Codes (Excel) [Copass, C.]",NOTE: || ,1
ATLAS,46.706,"Council Leaf Area Index Measurements (ASCII) [Copass, C.]",LAI || LAI-2000 || ASCII || EXCEL || NOTE: || ,5
ATLAS,46.7060,"Council Leaf Area Index Measurements (Excel) [Copass, C.]",LAI || LAI-2000 || NOTE: || ,3
ATLAS,46.707,"Council Leaf Area Index Measurements (ASCII) [Copass, C.]",LAI || LAI-2000 || ASCII || EXCEL || NOTE: || ,5
ATLAS,46.704,"Winter Carbon Flux [Ping, C. L. et al.]",,0
ATLAS,46.705,"Ivotuk Caribou Scat Deposition Data [Epstein, H., D. Richardson, D. Walker]",,0
ATLAS,46.708,"Otuk Creek Discharge Data (ASCII) [Sturm, M.]",ASCII || EXCEL || NOTE: || ,3
ATLAS,46.7080,"Otuk Creek Discharge Data (Excel) [Sturm, M.]",NOTE: || ,1
ATLAS,46.709,"East Siberian Transect - Air, Ground Temperature and Snow Depth - Additional Stations (ASCII) [Romanovsky, V.]",ASCII || ATLAS || ,2
ATLAS,46.7090,"East Siberian Transect - Air, Ground Temperature and Snow Depth - Additional Stations (Excel) [Romanovsky, V.]",ATLAS || ,1
ATLAS,46.712,"Updated North Slope Air and Ground Temperatures, Soil Moisture (ASCII) [Romanovsky, V.]",ASCII || ATLAS || ,2
ATLAS,46.7120,"Updated North Slope Air and Ground Temperatures, Soil Moisture (Excel) [Romanovsky, V.]",ATLAS || ,1
ATLAS,46.710,"Ivotuk Thaw Depth Measurements (ASCII) [Hinzman, L.]",ATLAS || ATLAS/Ivotuk || ,2
ATLAS,46.7100,"Ivotuk Thaw Depth Measurements (Excel) [Hinzman, L.]",ATLAS || ATLAS/Ivotuk || ,2
ATLAS,46.711,"Ivotuk Thaw Depth Measurements (ASCII) [Hinzman, L.]",ATLAS || ATLAS/Ivotuk || ,2
ATLAS,46.7110,"Ivotuk Thaw Depth Measurements (Excel) [Hinzman, L.]",ATLAS || ATLAS/Ivotuk || ,2
ATLAS,46.713,"Oechel Manipulation Soil Temperature Data (ASCII) [Oechel, W.]",ASCII || ,1
ATLAS,46.7130,"Oechel Manipulation Soil Temperature Data (Excel) [Oechel, W.]",,0
ATLAS,46.719,"Seward Peninsula and North Slope AVHRR Imagery [Oechel, W.]",AVHRR || ERDAS || PI || ,3
ATLAS,46.714,"Alaska Temperature Data [Welker, J., J. Fahnestock]",CO2 || HOBO || ,2
ATLAS,46.715,"SDSU Preliminary Aircraft Flux Data [Oechel, W.]",SDSU || N272SA || ,2
ATLAS,46.717,"Incorporation of a Permafrost Model into a Large Scale Ecosystem Model [Zhuang, Q.]",STM-TEM || ,1
ATLAS,46.720,"Winter CO2 efflux - IRGA [Welker, J., J. Fahnestock]",,0
ATLAS,46.721,"Alexandra Fiord - Plant Nutrient Data [Welker, J., J. Fahnestock]",,0
ATLAS,46.731,"Council NCAR ISS High Resolution Soundings - Tundra Site (C2) [Lynch, A.]",ATLAS || NCAR || ATD || ISS || README || ,5
ATLAS,46.732,"Council NCAR ISS High Resolution Soundings - Tundra Site (C2) [Lynch, A.]",ATLAS || NCAR || ATD || NCAR's || ISS || README || ,6
ATLAS,46.733,"Council NCAR ISS High Resolution Soundings - Dry Tundra Site (C8) [Lynch, A.]",ATLAS || NCAR || ATD || NCAR's || ISS || README || ,6
ATLAS,46.741,"Ivotuk Vegetation Data (ASCII) [Racine, C.]",SE || ASCII || ,2
ATLAS,46.7410,"Ivotuk Vegetation Data (Excel) [Racine, C.]",SE || ,1
ATLAS,46.742,"Ivotuk 2000: Snow Depth Data and Image [Sturm, M. et al.]",ASCII || ,1
ATLAS,46.743,"Ivotuk Simulated Snow Depth Distribution [Liston, G.]",ASCII || ,1
ATLAS,46.744,"Ivotuk Vegetation Classification Data [Liston, G.]",ASCII || ,1
ATLAS,46.745,"Digital Elevation Model (DEM) Output of the Ivotuk Site [Liston, G.]",ASCII || ,1
ATLAS,46.746,"Ivotuk Snow Water Equivalence (ASCII) [Sturm, M. G. Liston, J. Holmgren]",SWE || ,1
ATLAS,46.7460,"Ivotuk Snow Water Equivalence (Excel) [Sturm, M. G. Liston, J. Holmgren]",SWE || ,1
ATLAS,46.747,"Ivotuk Snow Depth Data (ASCII) [Sturm, M. G. Liston, J. Holmgren]",ATLAS || ,1
ATLAS,46.7470,"Ivotuk Snow Depth Data (Excel) [Sturm, M. G. Liston, J. Holmgren]",ATLAS || ,1
ATLAS,46.748,"Ivotuk Snow Temperature Data (ASCII) [Sturm, M. G. Liston, J. Holmgren]",ATLAS || ,1
ATLAS,46.7480,"Ivotuk Snow Temperature Data (Excel) [Sturm, M. G. Liston, J. Holmgren]",ATLAS || ,1
ATLAS,46.749,"Ivotuk Shrub Lines Snow Depth and Temperature Data (ASCII) [Sturm, M. G. Liston, J. Holmgren]",ATLAS || ,1
ATLAS,46.7490,"Ivotuk Shrub Lines Snow Depth and Temperature Data (Excel) [Sturm, M. G. Liston, J. Holmgren]",ATLAS || ,1
ATLAS,46.750,"Ivotuk Snow Melt Data (ASCII) [Sturm, M. G. Liston, J. Holmgren]",ATLAS || ,1
ATLAS,46.7500,"Ivotuk Snow Melt Data (Excel) [Sturm, M. G. Liston, J. Holmgren]",ATLAS || ,1
