project,archive_ident,title,Summary
ARCSS,106.221,"SNACS: Environmental Variability, Bowhead Whale Distributions, and Inupiat Subsistence Whaling - event log","This dataset includes a table which represents the event log for the 2005 field season for the Study of the Northern Alaska Coastal System (SNACS) conducted in the Chukchi and Beaufort Seas off the coast of Barrow, Alaska."
ARCSS,106.222,"SNACS: Environmental Variability, Bowhead Whale Distributions, and Inupiat Subsistence Whaling - CTD data","This data set contains Conductivity, Temperature, Depth (CTD) cast profiles of measured water column parameters acquired during the Study of the Northern Alaska Coastal System (SNACS) cruises, August - September 2005 and 2006 in the Chukchi and Beaufort Seas near Barrow, Alaska."
ARCSS,106.235,Biocomplexity Project: Soil Pit Chemical and Physical Data,"This dataset contains soil pit chemical and physical data. The data were collected from the Banks Island, Isachsen, and Mould Bay sites. See the documentation for information on how the samples were collected and analyzed. This dataset was originally available as a CD, but is now available as a single .tar file containing all of the data."
ARCSS,106.236,"Winter Precipitation, Sublimation, and Snow-Depth in the Pan-Arctic","This data set is part of a project to investigate winter sublimation processes in order to improve and develop models and methods which will accurately and reliably estimate sublimation rates. The project is a five-year field campaign using eddy correlation towers to measure surface fluxes of heat, moisture and momentum. Eddy correlation observations will provide the total moisture flux from the snow surface, which can be attributed to sublimation in cold conditions. 
This dataset includes data that were collected from two Meteorological towers that were operated near Barrow, Alaska from March to May 2005 and again from October to June 2006. Additional information is available in the readme file, and also the header of each data file."
ARCSS,106.237,Polar Science Center Hydrographic Climatology (PHC),"The climatology provides temperature and salinity data at 1X1 degree intervals for all the earth's oceans, down to a depth of 5500m, at incremental depths identical to those provided in the National Oceanographic Data Center's (NODC) World Ocean Atlas (WOA). This global climatology is the combination of NODC's 1998 world climatology (WOA), the Environmental Working Group (EWG) Arctic Ocean Atlas (AOA), and select Canadian data provided by the Bedford Institute of Oceanography (BIO). While the NODC data includes the Arctic ocean, the AOA data provides a better description of this region. Neither of these data fields provides a good representation of the Canadian Archipelago region and nearby bays in the winter months. The data from the Bedford Institute of Oceanography allowed us to bridge this data hole. These three data sets were merged using an optimal interpolation routine such that our PHC retains the high quality world description provided by the WOA while improving the Arctic with the AOA fields and Canadian data. 
In summary, Polar Science Center Hydrographic Climatology (PHC) = WOA (Levitus) '98 everywhere except in our arctic domain, where we have blended in the AOA field (from EWG), and the BIO data to produce a more realistic arctic region."
ARCSS,106.ARCSS001,"Air and Ground Surface Temperatures From the Kuparuk Basin, Alaska, 1994-1996","This dataset includes air and ground surface temperatures from 31 sites in the Kuparuk Basin, Alaska, between 1994 and 1996. The temperatures were measured using inexpensive miniature data loggers and a simplified instrument mounting system. The system was originally designed for recording winter air temperatures. Summer air temperatures have been adversely affected by solar heating and should be used with caution."
ARCSS,106.ARCSS002,"Alaska North Slope (Sagavanirktok River) Meteorological Data, 1994 and 1995","This dataset contains meteorological, soil and vegetation data collected in 1994 and 1995 from a site adjacent to the Sag River (Slope Mountain) Alaska Department of Transportation Maintenance Camp at mile 306 on the Dalton Highway (pipeline Haul Road). This is 109 miles from the Deadhorse end of the Highway or approximately 20 miles north of Toolik Camp, 30 miles south of Happy Valley, and 6 miles south of Pump Station 3 (68 degrees 46 minutes 47 seconds North, 148 degrees 52 minutes 52 seconds West, at 500 m elevation). Parameters collected include: air temperature, relative humidity, wind speed and direction, precipitation, net and shortwave radiation, soil moisture, subsurface temperature, snowpack temperature and depth, subsurface heat flux, slope, aspect, and vegetation."
ARCSS,106.ARCSS003,"Arctic Cyclone Track Data Set, 1966-1993","This data set comprises a 28-year record (1 May 1966 through 31 December 1993) of twice-daily extra tropical cyclone statistics for the Northern Hemisphere. Data were obtained from application of the updated Serreze (1995) algorithm to National Meteorological Center (NMC) sea level pressure (SLP) fields for the 47x51 octagonal grid. The data set includes the position and central pressure of each cyclone, whether the observation represents a cyclogenesis or cyclolysis event (from the first and last observation of each system), and the local Laplacian (105 mb m-2) and sea level pressure tendency (SLPT) (mb (12h-1)) at each cyclone center."
ARCSS,106.ARCSS004,Soil Properties of Carbon-Flux Monitoring Sites in Northwestern Alaska,"This data set includes basic soils data collected in summer 1995 for ten Arctic System Science/Land-Atmosphere-Ice Interaction (ARCSS/LAII) carbon-flux monitoring sites, and several related sites, in northwestern Alaska. Soil profile descriptions, soil carbon data (including carbon quantity, quality, and distribution), soil bulk densities, and soil water content data are provided for each site."
ARCSS,106.ARCSS005,Automated Weather Station Data for Greenland Ice Core Locations,"This dataset contains automated weather station data (temperature, pressure, relative humidity, and wind direction and speed) collected on and near the Greenland Ice Sheet Project Two (GISP2) site in Greenland. The data were collected every 10 minutes and compiled into three-hourly intervals at each site from 1987 to 1998."
ARCSS,106.ARCSS006,"Ecosystem Carbon Fluxes, Toolik Lake, Alaska, 1995 and 1996","Carbon dioxide exchange, air temperature, and photosynthetically active radiation (PAR) were measured on tundra plots at the Toolik Lake Field Station during the summers of 1995 and 1996. Measurements were made on control plots, plots from which snow was removed, and plots from which snow was removed before the installation of heating cables at 10 cm depth. Plots with heating cables were heated two hours per day. Carbon dioxide exchange measurements utilized a Li-Cor 6200 portable gas exchange system, and a Li-Cor quantum sensor was used to measure PAR. Data are available in ASCII and MS Excel formats."
ARCSS,106.ARCSS007,"Eddy Flux Data, Alaska North Slope, 1994-1996","This dataset contains eddy flux data recorded at Happy Valley, Sagwon, and Toolik Lake from 1994 to 1996. An entire suite of meteorological parameters were recorded, including atmospheric temperature, pressure, mass flux of carbon and water vapor, sensible heat, latent heat, humidity, wind speed and direction, soil temperature, net radiation and ground heat flux."
ARCSS,106.ARCSS008,Greenland Summit Ice Cores,"From 1989 to 1994, the U.S. and European scientific communities supported a bold undertaking to acquire an extensive paleoclimate record for the Northern Hemisphere. These efforts, termed the Greenland Ice Core Project (GRIP) and Greenland Ice Sheet Project Two (GISP2), acquired deep ice cores from sites on and near the Greenland summit. The GISP2 (US) site was located at 72 degrees 36 minutes N, 38 degrees 30 minutes W. The GRIP (European) site was located at 72 degrees 35 minutes N, 37 degrees 38 minutes W. A wide range of environmental and physical parameters were recorded from the cores. The data types are listed below: 
- Air Mass Trajectories (GISP2)

- Chemistry (GISP2, GRIP)

- Climatological Data (GISP2)

- Cosmogenic Isotopes (GISP2)

- Dust (GISP2)

- Electrical Conductivity (GISP2, GRIP)

- Gas Concentrations in Air Bubbles (GISP2, GRIP)

- Physical Properties and Ice Core Stratigraphy (GISP2, GRIP)

- Stable Isotopes (GISP2, GRIP)

- Time scales (GISP2, GRIP) 
The GRIP and GISP2 data presented on this site were acquired as a part of a multi-institutional effort involving the GISP2 Science Management Office (SMO) at the University of New Hampshire, the National Snow and Ice Data Center (NSIDC) at the University of Colorado, the International Ice Core Data Cooperative (IICDC) at the Institute of Arctic and Alpine Research (INSTAAR), and the World Data Center (WDC) for Paleoclimatology, Boulder at the National Oceanic and Atmospheric Administration (NOAA) National Geophysical Data Center (NGDC). 
Documentation and data format were carried out jointly by NSIDC and the WDC for Paleoclimatology. All GISP2 and GRIP data are jointly archived at the Arctic System Science (ARCSS) data archive at NCAR and at the WDC for Paleoclimatology, NOAA-NGDC. 
The datafiles were extracted from a CD and are now in a single tar.gz file available for download. See the readme for important corrections to the data."
ARCSS,106.ARCSS009,ARCSS-LAII 1996 Aircraft Radiometric Data,"This dataset contains radiometric data over the Kuparuk River basin on the North Slope of Alaska collected using the National Oceanic and Atmospheric Administration (NOAA) Long-EZ and Cessna 206 light aircraft during the summer of 1996,. The area covered runs from north to south along the 148 degrees 55 minutes and 149 degrees 30 minutes lines of west longitude from approximately the Arctic Ocean (70.5 degrees N) to the foothills of the Alaskan Brooks Range (68.5 degrees N). Reflected spectral radiance was measured using an Exotech Model 100A Four Channel Radiometer, and recorded at 1 second intervals (1Hz) as digital counts (NOAA Long-EZ) or analog voltages (Cessna 206). The digital counts were converted to voltages, and then all voltages were converted to radiance values. The data files are in tab-delimited format."
ARCSS,106.ARCSS011,"Chukchi Sea Hydrographic (CTD) Data from the R.V. Alpha Helix Cruise, September 1996","In an international collaborative effort, Japanese, Russian, and U.S. scientists collected hydrographic Conductivity, Temperature, Depth (CTD) samples in the Chukchi Sea north of the Bering Strait during the R.V. Alpha Helix cruise between 31 August and 27 September 1996. The CTD data were converted from the format used by the Institute for Marine Studies, University of Alaska Fairbanks, to standard Sea-Bird format. The data collection contains values for water depth, pressure, temperature, potential temperature, conductivity, salinity, sigma-t, sigma-theta, fluorescence, transmissometer output, oxygen probe O2 concentrations, geopotential anomaly, dynamic height, specific volume anomaly, and buoyancy."
ARCSS,106.ARCSS012,"Meteorology, Vegetation, Radiation, Microtopography, and Thaw Depth Data, Alaska, 1995-1996","This dataset includes temperature, relative humidity, long- and short-wave radiation, photosynthetically active radiation (PAR), leaf area index (LAI), microtopography, and thaw depth data for study sites on the North Slope of Alaska. Meteorological parameters were measured at 20-second intervals and averaged to 6-minute records in a data logger. Data were later averaged to one hour. Radiation data were recorded every hour. Microtopography and thaw depths were measured by Terry Chapins group from the University of California at Berkeley. Resolution of height contours is 0.3048 cm (1/100 of a foot). Thaw depths are given in meters."
ARCSS,106.ARCSS013,"Methane Flux Data, Alaska North Slope, 1994-1996","This dataset contains methane fluxes, along with air and soil temperatures, collected at Happy Valley and Toolik Lake Arctic System Science/Land-Atmosphere Ice Interaction (ARCSS/LAII) study sites during the summers of 1994 and 1995. The data were collected at varied times during the field season, from every other day to weekly. Water table manipulations were also done to determine the sensitivity of the wet tundra methane and carbon dioxide fluxes to changes in the water table."
ARCSS,106.ARCSS014,"NOAA/CMDL World Climate Data, Global Historical Climatology Network for Alaska","This data set contains mean monthly temperatures and total monthly precipitation for stations in Alaska from the mid-1800s to 1990. The values are a subset of the Global Historical Climatology Network (GHCN), archived at Oak Ridge National Laboratory."
ARCSS,106.ARCSS016,ETOP05 Elevation Data for Areas Greater than 50 degrees North,"ETOPO5 is a collection of several gridded elevation data sets, combined into a single, global coverage. The data sets are of low resolution and accuracy, and therefore are useful for only the most general descriptions of polar topography. 5-Minute Gridded Global Relief Data Collection (ETOPO5) gridded elevation data for the Earth north of 50 degrees North were provided to National Center for Atmospheric Research (NCAR) by the National Geophysical Data Center."
ARCSS,106.ARCSS017,GIS Data from the Alaska North Slope,"This data set includes ArcInfo-formatted maps of the Kuparuk River Basin Region of the Alaskan North Slope (at 1:250,000 scale) and five subset study areas: the Upper Kuparuk River Basin Subregion (1:25,000), the Imnavait Creek Landscape (1:6,000), the Toolik Lake Landscape (1:5,000), the Imnavait Creek Grid (1:500), and the Toolik Lake Grid (1:500). Land cover (satellite-derived) and elevation data (United States Geological Survey digital elevation model (USGS DEM-derived)) are provided for the Kuparuk River Basin Region. For the five subset areas, an integrated terrain unit mapping (ITUM) approach simultaneously mapped vegetation and other terrain features as interpreted in the field from a common aerial-photograph base. The result is a single ITUM map for each area, including vegetation, geomorphology, glacial geology, and many other features. Various supplemental maps (e.g., hydrologic features and roads) for each of the areas are available for use as overlays. 
Data is only available as a single tar.gz file containing all of the files."
ARCSS,106.ARCSS018,"Terrain and Vegetation of Toolik Lake, AK: Permanent Plots","This data set is a summary of environmental, soil, and vegetation information collected from 81 study plots at the Toolik Lake research site in northern Alaska. Data include site factors, soil classification, description, and physical and chemical properties, as well as plant species cover. Investigators examined typical and characteristic vegetation communities of the area around Toolik Lake."
ARCSS,106.ARCSS020,Land-Cover Map of the North Slope of Alaska,This ArcInfo map provides a spatially explicit representation of the nature and distribution of land cover and tundra types on the North Slope of Alaska. This was done in support of extrapolating ecosystem models developed in the Kuparuk to the North Slope.
ARCSS,106.ARCSS021,Russian Rivers Data Set,"Monthly river flow rates and maximum yearly flow rates for selected rivers in Russia were obtained from Esther Munoz and Seelye Martin at University of Washington, School of Oceanography. The data were originally compiled by United Nations Educational, Scientific and Cultural Organization (UNESCO) and the State Hydrological Institute in St. Petersburg, Russia, which is part of the Federal Service for Hydrometeorology and Environmental Monitoring, Moscow, Russia."
ARCSS,106.ARCSS022,Large Area Estimates of Carbon Fluxes of Arctic Landscapes,"Net CO2, evapotranspiration, and energy exchange were measured during 1998-2001 in wet-moist coastal sedge tundra (Barrow: 71 degrees 21 minutes north, 156 degrees 37 minutes west) and moist-wet coastal sedge tundra/moist-tussock tundra ecosystems (Atqasuk: 70 degrees 28 minutes north, 157 degrees 25 minutes west), and during the 1994-95 growing seasons (June-August) in moist-acidic (Happy Valley: 69 degrees 9 minutes north, 148 degrees 51 minutes west), moist non-acidic (24-Mile: 69 degrees 56 minutes north, 148 degrees 49 minutes west) and wet-sedge tundra ecosystems (U-Pad: 70 degrees 17 minutes north, 148 degrees 53 minutes west) located on the north slope of Alaska."
ARCSS,106.ARCSS027,"Snow Pit and Ice Core Data from Southern Greenland, 1984","This collection includes surface snow sample, snow pit, and ice core data from summer of 1984 in Greenland (location - 65 degrees 6 minutes north, 44 degrees 52 minutes west, 2625 m a.s.l.). The data describe concentrations of major ions (Cl, Ca, Mg, K, Na, NO3, SO4), iron +3 (Fe) and oxygen isotopes (18O). Samples were obtained by the Glacier Research Group (GRG) and analyzed at a lab at the University of New Hampshire (UNH)."
ARCSS,106.ARCSS029,"Arctic Ocean Section Porewater Chemistry Data, 1994","This data set contains data collected during the joint Canadian-U.S. Arctic Ocean Section 1994 cruise in the central Arctic ocean. The purpose of the research was to provide the first description of porewater chemistry and diagenetic processes in near-surface sediments of the central ice-covered Arctic Ocean. Thirteen subcores from boxcores were collected. Analyses for a variety of solutes from the pore waters (oxygen, dissolved iron and manganese, phosphate, and titration alkalinity) were conducted on board."
ARCSS,106.ARCSS030,Model Output from the Arctic Region Climate System Model (ARCSyM),"The Arctic Region Climate System Model (ARCSyM) provides output data to study ocean-ice-atmosphere and land-atmosphere interactions at high latitudes, at horizontal resolutions ranging from seven kilometers to 100 kilometers. Model data specifically cover Alaska, the Arctic Basin, and Antarctica. 
The ARCSyM model was first developed from the National Center for Atmospheric Research (NCAR) Regional Climate Model (RegCM2) (Giorgi et al 1993). It was adapted for the Arctic by the addition of coupled sea ice and mixed layer ocean models, ice phase moisture physics, and a new longwave radiative transfer scheme. In the arctic version, the original Land Surface Model (LSM) was replaced by the NCAR LSM and new arctic vegetation types were introduced. 
The model can be initialized and forced at the lateral boundaries by observational analyses or General Climate Model (GCM) output and develops its own climate within the specified model domain. Lateral boundary conditions include temperature, wind, moisture, sea level pressure and pressure heights."
ARCSS,106.ARCSS031,"Point Barrow, Alaska and Vicinity Bathymetry","This data set contains bathymetry data for Point Barrow, Alaska, and its vicinity. A bathymetry grid was interpolated from depth soundings measured in meters below mean lower low water (MLLW) and contours that were digitized from a National Oceanic and Atmospheric Administration (NOAA) nautical chart (28 July 1990 1:47,943-scale, chart #16082). The data set includes the derived bathymetry grid, the depth soundings map, and the contour map."
ARCSS,106.ARCSS033,"Active Layer Depth and Snow Depth, Kuparuk Basin, 1995","Active layer and snow depths were measured on 1-km x 1-km grids within the Kuparuk Basin, Alaska, at various times throughout the summer of 1995. The parameters were measured at 121 surveyed grid nodes spaced at 100 m at the following locations: Atqasuk, Barrow, Betty Pingo, Happy Valley, Imnavait Creek, Toolik Lake, and West Dock."
ARCSS,106.ARCSS037,"Snow Depth Measurements from Barrow, Alaska, 1994","This data set contains snow depth measurements (cm) taken at the Arctic System Science (ARCSS) 1-m grid near Barrow, Alaska, on May 8, 1994. A grid spacing of 100 m was marked with wooden stakes. Snow pack depth was then measured by probing at the stakes prior to meltout. The grid yielded an 11x11 array with 121 data points. Note to users: This data set previously contained soil temperature data from Happy Valley and Barrow, Alaska. For data and information on soil temperatures, visit the companion dataset."
ARCSS,106.ARCSS038,"Soil Temperatures for Happy Valley and Barrow, Alaska, USA","This data set contains hourly and daily-averaged soil temperatures from Happy Valley and Barrow, Alaska, from 19 August 1993 to 31 August 2004. Data are in comma-delimited or space-delimited ASCII text format, and are available via FTP. The research project was funded by the National Science Foundation (NSF) Geography and Regional Sciences and Arctic System Science (ARCSS) programs, grant numbers OPP 9214897, SES 9308334, OPP 9529783, and OPP 9732051."
ARCSS,106.ARCSS039,"Thaw Depth, Toolik Lake, Alaska, 1995 and 1996","Thaw depths were measured at the Toolik Lake Field Station during the summers of 1995 and 1996. Measurements were made on control plots, plots from which snow was removed, and plots from which snow was removed before the installation of heating cables at 10-cm depth. Plots with heating cables were heated two hours per day. Thaw depths were measured at tussock and intertussock sites within each plot using a steel probe. Data are available in ASCII and MS Excel formats."
ARCSS,106.ARCSS040,"Air Temperature and Thaw Depth, North Slope, Alaska: Field Measurements (1995-97) and Computed Values","This data product contains field data measurements of air temperatures and thaw depth (active-layer thickness) measured at locations in north-central Alaska, and modeled values of air temperatures and thaw depth extrapolated to an area encompassing the Kuparuk River basin of north-central Alaska. Air temperature and thaw depth were measured in the years 1995, 1996, and 1997; air temperature was measured at 10 core Flux Study plots and additional sites, and thaw depth was measured within each of seven Arctic System Science (ARCSS) 1 km x 1 km grids. The data were collected to provide a basis for extrapolating thawing degree-days and thaw depth to the landscape scale (the Kuparuk River basin). 
Modeled air temperatures derived from the 1995 air temperature measurements are represented in 787 x 371 element matrices of thawing degree-day sums at weekly intervals for part of summer 1995. Thaw depth matrices were model led using the interpolated thawing degree-day data, a vegetation map of the Kuparuk River basin, and a digital elevation model (DEM) of the same area. Modeled thaw depth is represented in 178 x 369 element matrices of active-layer thickness at weekly intervals for part of summer 1995, one time period in 1996, and end-of-season (August 6) 1997. 
Data is only available as a single tar.gz file containing all of the files."
ARCSS,106.ARCSS043,"National Solar Radiation Data Base Hourly Solar Data from Alaska, 1961-1990","The radiation data are derived from the National Solar Radiation Data Base (NSRDB) hourly data in synoptic format, and provided by the National Climatic Data Center (NCDC). They contain hourly global horizontal solar irradiance, direct normal solar irradiance, and diffuse horizontal solar irradiance for 17 Solar and Meteorological Surface Observation Network (SAMSON) stations in Alaska from January 1, 1961 through December 31, 1990. The data are distributed with permission from NCDC."
ARCSS,106.ARCSS045,Global Seasonal Snow Classification System,"The data file defines a global seasonal snow classification system. Based on the physical properties of the snow (depth, density, thermal conductivity, number of layers, degree of wetting, etc.), the world's seasonal snow covers were divided into six classes, plus classes for water and ice fields. Each class was defined by its physical properties, then empirically related to climate using three variables (precipitation, wind, and air temperature). A vegetation proxy was used for wind data: tall vegetation equals low wind, short vegetation equals high wind. 
The snow classification data are formatted into an array of integers, each value representing a 0.5-degree latitude by 0.5-degree longitude cell. The data set was developed and tested for the Northern Hemisphere. Results for the Southern Hemisphere are untested and have not been evaluated. The Southern Hemisphere suffers from a reduced density of meteorological data which may well have influenced the quality of the snow classification in that area. Also note that much of Antarctica is inappropriately defined as water (the vegetation data set did not extend that far south). A 0.5- x 0.5-degree land-sea mask could be used to set the Antarctica region to the ice classification if this region is of interest. 
National Snow and Ice Data Center (NSIDC) has created a land/ocean mask from the original (updated) Global Ecosystem map (see Related links) used in the derivation of the snow classification. The mask may be used to set the land mass of Antarctica to ice, as described above, altering the data set as submitted."
ARCSS,106.ARCSS046,"Regional Survey of Greenland, 1988 - Snow Pit Data","This dataset contains information from two 2-meter snow pits, five 4-meter snow pits, and two 6-meter snow pits, all dug in 1988 from selected sites in Greenland, and includes chemistry (H+), stable isotopes (Ca, Cl, Na, K, Mg, NH4, NO3, SO4, MSA), oxygen isotope information (18O) and radionuclide information. Surface snow samples were also extracted from the 6-meter snow pits. All snow pits had a 3-cm sampling interval. The pits and surface snow samples were collected by the Glacier Research Group (GRG), using established protocols to prevent contamination. All data except the oxygen isotope data, which is from the University of Washington, were generated by GRG at the University of New Hampshire."
ARCSS,106.ARCSS048,"Snow Pit Data from Greenland Summit, 1987","Snow pit and snow sample data are included from the Summit area of Greenland from 1987. One 2-meter snow pit was dug and sampled in 1987 with a 3-cm sampling interval. Four 4-meter snow pits were dug and sampled in 1987 with a 3-cm sampling interval. One 6-meter snow pit was dug and sampled in 1987 with a 3-cm sampling interval. Chemistry (H+), stable isotopes (Ca, Cl, Na, K, Mg, NH4, NO3, SO4, MSA), oxygen isotope information (18O), beta surface snow samples were collected from the snow pits. Some general weather observations were collected during the 6-meter snow pit acquisition."
ARCSS,106.ARCSS049,"Snow Pit Data from Greenland Summit, 1989 to 1993","Chemistry and isotope information from snow pits dug at the Summit area of Greenland, 1989-1993 includes major ions (Na, K, Mg, Ca, Cl, NO3, SO4), oxygen isotopes (18O) and H2O2. Four snow pits were dug and sampled in 1989, three snow pits in 1990, two in 1991, one in 1992 and one in 1993. All snow pits had a 3 cm sampling interval except the snow pits in 1990, which had either a 3 cm or 5 cm sampling interval. Chemistry and isotope information were obtained from each of the snow pits. The pits and surface snow samples were collected by the Glacier Research Group (GRG), using established protocols to prevent contamination. The samples collected in 1991 were analyzed at the Greenland Ice Sheet Project Two (GISP2) drilling camp. All data except the oxygen isotope data, which is from the University of Washington, were generated by GRG at the University of New Hampshire."
ARCSS,106.ARCSS050,Model Output From the 'Frost Index' Permafrost Model: Variations in Circumpolar Frozen Ground Conditions and Modeled Future Conditions,"This data set contains permafrost distribution maps, active-layer thickness maps, and hazard-potential maps constructed using results from the 'frost index' permafrost model (Nelson and Outcalt, 1987) driven by modern climatic data and scenarios of climate change derived from three transient general circulation models (Greco et al., 1994). The permafrost maps show the distribution of permafrost in the Northern Hemisphere under modern climatic conditions and General Climate Model (GCM) projections for 2050; the active-layer thickness maps show relative changes in the depth of seasonal thawing projected for 2050; and the hazard-potential maps are used as indices to evaluate potential environmental hazards associated with thaw settlement and thermokarst."
ARCSS,106.ARCSS051,LAII Alaska Landscape Flux Survey NOAA/ATDD Long-EZ Aircraft Data,"The data in the aircraft portion of the Land Atmosphere Ice Interaction (LAII) Alaska Landscape Flux Survey (ALFS) were collected in June 1994, June 1995, August 1995, and June 1996. The object of the effort was to measure remote sensing variables, the vertical flux density of sensible and latent heat, CO2, and momentum for extrapolating surface-based measurements to regional scales. The aircraft operations were conducted from Deadhorse Airport near Prudhoe Bay, Alaska, and consisted of daytime and nighttime transect flights. 
 The measured parameters included water vapor, sensible heat, CO2, Photosynthetically Active Radiation (PAR), and surface reflectances from the Alaskan North Slope tundra, and were used to study the factors that control spatial variability of the exchange. Scalar flux densities were measured with a resolution of approximately 2-3 km. Supporting meteorological parameters such as temperature, humidity, CO2 and H2O concentrations, wind speed and direction, surface temperature, incoming and net radiation were also observed. This study was conducted with the National Science Foundation and San Diego State University."
ARCSS,106.ARCSS052,"Model Output from the Marine Biology Laboratory General Ecosystem Model (MBL-GEM) for Toolik Lake, 1921-2144, and the Kuparuk River Basin, 1995","This data set contains model input and output data for four simulations of varying time periods and spatial coverage. The first two simulations are for acidic tussock tundra in the Toolik Lake region of the Kuparuk River watershed for the years 1921 to 2144. Each of these simulations is made up of two parts. The first part is based upon a reconstruction of historical climate variables from 1921 to 1995, while the second part is based upon a doubling of C02 and the concurrent changes in temperature, soil moisture, and irradiance from 1996 to 2144. The historical period is the same for both simulations. The future period differs between the two simulations: One simulation assumes a direct relationship between soil moisture and temperature (i.e., warmer and wetter), and the other assumes an inverse relationship between soil moisture and temperature (i.e., warmer and drier). The climate drivers used for the simulations are included as part of this dataset. The second two simulations are for acidic tussock tundra throughout the entire Kuparuk River basin for 1995 only. The first simulation uses the reconstructed 1995 climate. The second simulation uses the same climate with an increase in soil moisture. The model output data consist of 34 variables including photosynthesis, plant and soil respiration, net primary production, net mineralization, and carbon and nitrogen stocks in plant tissues and soils."
ARCSS,106.ARCSS053,Heterotrophic Bacteria and Protists in the Upper Water Column of the Central Arctic Ocean,"This data set contains information on heterotrophic bacteria and protists in the upper water column of the central Arctic Ocean, collected during the Canada/U.S. 1994 Arctic Ocean Section, July-September 1994. The data include measurements of distribution, general composition, and activity of heterotrophic protists, and distribution of bacteria."
ARCSS,106.ARCSS054,"Western Arctic Mooring CTD and ADCP Data, 1992-1995","This data set contains temperature, salinity, and current meter data collected from instrument moorings set at various depths in the Barrow Canyon of the northeast Chukchi Sea. The collection period ranges from September 1992 through September 1995. Data are in ASCII format."
ARCSS,106.ARCSS056,"Soil Survey along the Dempster Highway, Yukon Territory, Canada","Soil survey information from plots along the Dempster Highway in Yukon Territory, Canada, includes soil consistency, soil texture, soil moisture, pedon information, flooding information (frequency and duration), erosion, runoff, soil temperature, precipitation, bedrock, major land resource areas, horizon data (thickness, soil pores, rock fragments, roots, soil surface feature, effervescence), mineralogy, and oxalate data elements collected in the field and the lab. An attached SAS program is included with each data file for importing data to SAS statistical software."
ARCSS,106.ARCSS057,"Soil Temperatures, Toolik Lake, Alaska, 1995 and 1996","Soil temperatures were measured at the Toolik Lake Field Station during the summers of 1995 and 1996. Measurements were made on control plots, plots from which snow was removed, and plots from which snow was removed before the installation of heating cables at 10-cm depth. Plots with heating cables were heated two hours per day. Soil temperatures were recorded once per minute using a Campbell 21X micrologger measuring a thermocouple located at 5-cm soil depth in an intertussock area within each plot. Data are available in ASCII and MS Excel formats."
ARCSS,106.ARCSS058,"Canopy Foliage Area Index, Toolik Lake, Alaska, 1995 and 1996","This dataset contains Canopy Foliage Area Index data for Toolik Lake, Alaska. Leaf Area Index (LAI) was measured for tundra plots at the Toolik Lake Field Station during the summers of 1995 and 1996. Measurements were made on control plots, plots from which snow was removed, and plots from which snow was removed before the installation of heating cables at 10-cm depth. Plots with heating cables were heated two hours per day. A Li-Cor LAI-2000 was used to measure LAI. Data are available in ASCII and MS Excel formats via ftp."
ARCSS,106.ARCSS060,"Sedimentary Denitrification Rates from the Bering, Chukchi, and Beaufort Seas","This data set contains the sedimentary denitrification rates from the Bering, Chukchi, and Beaufort Seas obtained during August-September 1992, and rates obtained in the Beaufort Sea off Pt. Barrow, Alaska, under late wintertime conditions (March 1993). The estimates made during August-September were based on both deployments of an automated in-situ benthic flux chamber tripod and on pore water chemical profiles from cores analyzed aboard the R/V Alpha Helix. Wintertime observations were obtained using scaled-down versions of the in-situ benthic flux chamber that were deployed through land-fast ice. The complete results are published in Devol, A.H., L.A. Codispoti, and J.P. Christensen, 1997. Summer and winter denitrification rates in western Arctic shelf sediments. Continental Shelf Research 17 (9): 1029-1050."
ARCSS,106.ARCSS064,"SCICEX Hydrographic Data, 1997 and 1998","The Scientific Ice Expeditions (SCICEX) Program was a series of five multidisciplinary scientific cruises that utilized US Navy operational submarines as platforms for sampling the Arctic Ocean. The program's numerous principal investigators worked towards the overarching goal of characterizing the upper layers of the Arctic Ocean as completely as possible. 
 This data set includes hydrographic data obtained during the 1997 and 1998 (third and fourth) SCICEX cruises, aboard the USS Archerfish and the USS Hawkbill, respectively. Water column profile data were collected using a submarine-launched conductivity, temperature, and depth (CTD) probe. Probe depths were computed based on a known fall rate, temperature (T) and conductivity values were measured by probe sensors, and salinity was computed from these values. Derived variables, including pressure (calculated from depth and latitude), potential temperature, sigma-t (a representation of density), and sigma-theta (sigma-t calculated with potential temperature), are also included.  
 Profile data were generally collected to a depth of 1000 m at 1-m depth intervals, with variable horizontal distance between the profiles. Data were collected between September 3 and October 2, 1997, and between August 1 and September 2, 1998, along extensive transects within the Arctic Ocean."
ARCSS,106.ARCSS066,Arctic Global Radiation (AGR) Data Set,"Radiation data were compiled and computed from many sources in the Arctic to produce a two-part Arctic Global Radiation (AGR) data set. The first part includes a time series of monthly fluxes from land stations, ocean drifting stations and empirically derived long-term climatological estimates from earlier Russian studies. While many of the station time series are quite short, some span over 40 years. Data are provided for the region north of 60 degrees N. The second part is a long-term monthly mean gridded climatology for the region north of 65 degrees N, based on the AGR-1 data set. For the most comprehensive information on this data set, read the extensive documentation."
